#            iprt         eigenv.           conv.
         1.000000       -2.317449        1.000000
         2.000000       -0.933600        1.000000
         3.000000       -0.739098        0.000000
         4.000000       -0.718498        0.000000
         5.000000       -0.578118        0.000000
         6.000000       -0.501150        0.000000
         7.000000       -0.456320        0.000000
         8.000000       -0.323591        0.000000
         9.000000       -0.315917        0.000000
        10.000000       -0.301022        0.000000
