#            iprt         eigenv.           conv.
         1.000000       -2.317312        0.000000
         2.000000       -0.932676        0.000000
         3.000000       -0.732146        0.000000
         4.000000       -0.712928        0.000000
         5.000000       -0.555651        0.000000
         6.000000       -0.493795        0.000000
         7.000000       -0.449849        0.000000
         8.000000       -0.294002        0.000000
         9.000000       -0.262181        0.000000
        10.000000       -0.224587        0.000000
